Factuurnummer of Subset_sales_data_Prediction_beers,Factuurdatum,Identificatienummer,Naam of Subset_sales_data_Prediction_beers,Commerciële naam,Bedrijfscategorieën,Vertegenwoordiger,Land,Stad,Prijsklasse,Artikelnummer,Naam product,Productcategorieën,Aantal,Grondstof,Liter,Liter_clean,Year of Subset_sales_data_Prediction_beers,Factuurnummer of FINAL SubsetData_PredictionBeers,Naam of FINAL SubsetData_PredictionBeers,Year of FINAL SubsetData_PredictionBeers,N Rows,Sum(Liter_clean),Order_Size
202200651,11/08/2022,4,Restaurant | Hoop doet Eten,Restaurant | Hoop doet Eten,Eigen groep,Dennis de Leeuw,Nederland,Zaandijk,Korting 25%,000148,Hoop US Lager rvs 20L,"Bier in RVS fust, Kern",5,Hoop US Lager,100,100,2022,202200651,Restaurant | Hoop doet Eten,2022,3,280,Regular
202200651,11/08/2022,4,Restaurant | Hoop doet Eten,Restaurant | Hoop doet Eten,Eigen groep,Dennis de Leeuw,Nederland,Zaandijk,Korting 25%,000119,Hoop Bleke Nelis rvs 20L,"Bier in RVS fust, Kern",5,Hoop Bleke Nelis,100,100,2022,202200651,Restaurant | Hoop doet Eten,2022,3,280,Regular
202200651,11/08/2022,4,Restaurant | Hoop doet Eten,Restaurant | Hoop doet Eten,Eigen groep,Dennis de Leeuw,Nederland,Zaandijk,Korting 25%,000131,Hoop Seasonal Summer Session IPA rvs 20L,"Bier in RVS fust, Seasonal",4,Hoop Kaper Tropical - Summer Session IPA,80,80,2022,202200651,Restaurant | Hoop doet Eten,2022,3,280,Regular
202200652,19/08/2022,4,Restaurant | Hoop doet Eten,Restaurant | Hoop doet Eten,Eigen groep,Dennis de Leeuw,Nederland,Zaandijk,Korting 25%,000148,Hoop US Lager rvs 20L,"Bier in RVS fust, Kern",4,Hoop US Lager,80,80,2022,202200652,Restaurant | Hoop doet Eten,2022,3,240,Regular
202200652,19/08/2022,4,Restaurant | Hoop doet Eten,Restaurant | Hoop doet Eten,Eigen groep,Dennis de Leeuw,Nederland,Zaandijk,Korting 25%,000119,Hoop Bleke Nelis rvs 20L,"Bier in RVS fust, Kern",4,Hoop Bleke Nelis,80,80,2022,202200652,Restaurant | Hoop doet Eten,2022,3,240,Regular
202200652,19/08/2022,4,Restaurant | Hoop doet Eten,Restaurant | Hoop doet Eten,Eigen groep,Dennis de Leeuw,Nederland,Zaandijk,Korting 25%,000131,Hoop Seasonal Summer Session IPA rvs 20L,"Bier in RVS fust, Seasonal",4,Hoop Kaper Tropical - Summer Session IPA,80,80,2022,202200652,Restaurant | Hoop doet Eten,2022,3,240,Regular
202200653,18/08/2022,000502,DE ZAANSE,Ironwoods Exploitatie B.V.,Zaanstreek,,Nederland,Assendelft,Standaard prijs,000119,Hoop Bleke Nelis rvs 20L,"Bier in RVS fust, Kern",9,Hoop Bleke Nelis,180,180,2022,202200653,DE ZAANSE,2022,1,180,Regular
202200654,26/08/2022,4,Restaurant | Hoop doet Eten,Restaurant | Hoop doet Eten,Eigen groep,Dennis de Leeuw,Nederland,Zaandijk,Korting 25%,000148,Hoop US Lager rvs 20L,"Bier in RVS fust, Kern",4,Hoop US Lager,80,80,2022,202200654,Restaurant | Hoop doet Eten,2022,3,160,Regular
202200654,26/08/2022,4,Restaurant | Hoop doet Eten,Restaurant | Hoop doet Eten,Eigen groep,Dennis de Leeuw,Nederland,Zaandijk,Korting 25%,000119,Hoop Bleke Nelis rvs 20L,"Bier in RVS fust, Kern",2,Hoop Bleke Nelis,40,40,2022,202200654,Restaurant | Hoop doet Eten,2022,3,160,Regular
202200654,26/08/2022,4,Restaurant | Hoop doet Eten,Restaurant | Hoop doet Eten,Eigen groep,Dennis de Leeuw,Nederland,Zaandijk,Korting 25%,000131,Hoop Seasonal Summer Session IPA rvs 20L,"Bier in RVS fust, Seasonal",2,Hoop Kaper Tropical - Summer Session IPA,40,40,2022,202200654,Restaurant | Hoop doet Eten,2022,3,160,Regular
202200657,26/08/2022,5,Winkel | Hoop doet Eten,Winkel | Hoop doet Eten,"Eigen groep, Retail, Zaanstreek",Dennis de Leeuw,Nederland,Zaandijk,Korting 20%,000017,"Hoop Bleke Nelis doos 12fles/0,33l","Bier in fles, Kern",10,Hoop Bleke Nelis,39.6,39.6,2022,202200657,Winkel | Hoop doet Eten,2022,3,77.88,Regular
202200657,26/08/2022,5,Winkel | Hoop doet Eten,Winkel | Hoop doet Eten,"Eigen groep, Retail, Zaanstreek",Dennis de Leeuw,Nederland,Zaandijk,Korting 20%,000100,"Hoop Seasonal Summer Session IPA doos 24fles/0,33l",Bier in fles,4,Hoop Kaper Tropical - Summer Session IPA,31.68,31.68,2022,202200657,Winkel | Hoop doet Eten,2022,3,77.88,Regular
202200657,26/08/2022,5,Winkel | Hoop doet Eten,Winkel | Hoop doet Eten,"Eigen groep, Retail, Zaanstreek",Dennis de Leeuw,Nederland,Zaandijk,Korting 20%,000192,Hoop Cadeauset 5x 5 fles kern,Cadeauset,4,Hoop Bleke Nelis,6.6,6.6,2022,202200657,Winkel | Hoop doet Eten,2022,3,77.88,Regular
202200658,31/08/2022,5,Winkel | Hoop doet Eten,Winkel | Hoop doet Eten,"Eigen groep, Retail, Zaanstreek",Dennis de Leeuw,Nederland,Zaandijk,Korting 20%,000195,Hoop Cadeauset 6x 4 fles Seasonal Summer,Cadeauset,3,Hoop Kaper Tropical - Summer Session IPA,5.94,5.94,2022,202200658,Winkel | Hoop doet Eten,2022,2,14.19,Regular
202200658,31/08/2022,5,Winkel | Hoop doet Eten,Winkel | Hoop doet Eten,"Eigen groep, Retail, Zaanstreek",Dennis de Leeuw,Nederland,Zaandijk,Korting 20%,000192,Hoop Cadeauset 5x 5 fles kern,Cadeauset,5,Hoop Bleke Nelis,8.25,8.25,2022,202200658,Winkel | Hoop doet Eten,2022,2,14.19,Regular
202200660,31/08/2022,4,Restaurant | Hoop doet Eten,Restaurant | Hoop doet Eten,Eigen groep,Dennis de Leeuw,Nederland,Zaandijk,Korting 25%,000131,Hoop Seasonal Summer Session IPA rvs 20L,"Bier in RVS fust, Seasonal",1,Hoop Kaper Tropical - Summer Session IPA,20,20,2022,202200660,Restaurant | Hoop doet Eten,2022,1,20,Regular
202200665,06/09/2022,719,De Nieuwe Gerstengel B.V.,De Nieuwe Gerstengel B.V.,Distributeurs,Dennis de Leeuw,Nederland,Beverwijk,Korting 20%,000017,"Hoop Bleke Nelis doos 12fles/0,33l","Bier in fles, Kern",2,Hoop Bleke Nelis,7.92,7.92,2022,202200665,De Nieuwe Gerstengel B.V.,2022,1,7.92,Regular
202200667,06/09/2022,000482,MAATSCHAP MELKVEEHOUDERIJ KRAMER-DIJKMAN,Kramer Koe & Kaas,Zaanstreek,Sjors Sombroek,Nederland,ASSENDELFT,Korting 15%,000057,"Hoop Seasonal Summer Session IPA doos 12fles/0,33l","Bier in fles, Seasonal",1,Hoop Kaper Tropical - Summer Session IPA,3.96,3.96,2022,202200667,MAATSCHAP MELKVEEHOUDERIJ KRAMER-DIJKMAN,2022,1,3.96,Regular
202200669,06/09/2022,23,Slijterij Drinks & Gifts,Slijterij Drinks & Gifts,"Slijterij, Zaanstreek",Dennis de Leeuw,Nederland,KROMMENIE,Korting 15%,000017,"Hoop Bleke Nelis doos 12fles/0,33l","Bier in fles, Kern",2,Hoop Bleke Nelis,7.92,7.92,2022,202200669,Slijterij Drinks & Gifts,2022,2,11.22,Regular
202200669,06/09/2022,23,Slijterij Drinks & Gifts,Slijterij Drinks & Gifts,"Slijterij, Zaanstreek",Dennis de Leeuw,Nederland,KROMMENIE,Korting 15%,000192,Hoop Cadeauset 5x 5 fles kern,Cadeauset,2,Hoop Bleke Nelis,3.3,3.3,2022,202200669,Slijterij Drinks & Gifts,2022,2,11.22,Regular
202200670,06/09/2022,579,Van Bieren Retail B.V.,Van Bieren Retail B.V. Administratief,Distributeurs,Dennis de Leeuw,Nederland,Utrecht,van Bieren administratief,000195,Hoop Cadeauset 6x 4 fles Seasonal Summer,Cadeauset,3,Hoop Kaper Tropical - Summer Session IPA,5.94,5.94,2022,202200670,Van Bieren Retail B.V.,2022,1,5.94,Regular
202200672,12/09/2022,000467,Van Bieren Retail,Van Bieren Retail B.V. Full Service,Distributeurs,Dennis de Leeuw,Nederland,Utrecht,van Bieren fullservice,000200,Hoop Cadeauset 6x 4 fles Licht & Fris,Cadeauset,3,Hoop Bleke Nelis,5.94,5.94,2022,202200672,Van Bieren Retail,2022,2,29.04,Regular
202200672,12/09/2022,000467,Van Bieren Retail,Van Bieren Retail B.V. Full Service,Distributeurs,Dennis de Leeuw,Nederland,Utrecht,van Bieren fullservice,000192,Hoop Cadeauset 5x 5 fles kern,Cadeauset,14,Hoop Bleke Nelis,23.1,23.1,2022,202200672,Van Bieren Retail,2022,2,29.04,Regular
202200675,13/09/2022,476,SPAR linnenbank,SPAR linnenbank,"Keten, Zaanstreek",Sjors Sombroek,Nederland,ZAANDIJK,Korting 20%,000057,"Hoop Seasonal Summer Session IPA doos 12fles/0,33l","Bier in fles, Seasonal",2,Hoop Kaper Tropical - Summer Session IPA,7.92,7.92,2022,202200675,SPAR linnenbank,2022,1,7.92,Regular
202200678,13/09/2022,579,Van Bieren Retail B.V.,Van Bieren Retail B.V. Administratief,Distributeurs,Dennis de Leeuw,Nederland,Utrecht,van Bieren administratief,000192,Hoop Cadeauset 5x 5 fles kern,Cadeauset,3,Hoop Bleke Nelis,4.95,4.95,2022,202200678,Van Bieren Retail B.V.,2022,1,4.95,Regular
202200679,13/09/2022,9050,I-MOR B.V.,I-MOR B.V.,B2B,,Nederland,ASSENDELFT,Korting 15%,000057,"Hoop Seasonal Summer Session IPA doos 12fles/0,33l","Bier in fles, Seasonal",1,Hoop Kaper Tropical - Summer Session IPA,3.96,3.96,2022,202200679,I-MOR B.V.,2022,2,7.92,Regular
202200679,13/09/2022,9050,I-MOR B.V.,I-MOR B.V.,B2B,,Nederland,ASSENDELFT,Korting 15%,000017,"Hoop Bleke Nelis doos 12fles/0,33l","Bier in fles, Kern",1,Hoop Bleke Nelis,3.96,3.96,2022,202200679,I-MOR B.V.,2022,2,7.92,Regular
202200680,13/09/2022,285,Gall en Gall Westerwatering,Gall en Gall Westerwatering,"Slijterij, Zaanstreek",Sjors Sombroek,Nederland,ZAANDAM,Korting 15%,000017,"Hoop Bleke Nelis doos 12fles/0,33l","Bier in fles, Kern",1,Hoop Bleke Nelis,3.96,3.96,2022,202200680,Gall en Gall Westerwatering,2022,1,3.96,Regular
202200681,13/09/2022,78,Manzo's B.V.,Manzo's B.V.,"hotel, Restaurant, Zaanstreek",,Nederland,ZAANDAM,Korting 15%,000131,Hoop Seasonal Summer Session IPA rvs 20L,"Bier in RVS fust, Seasonal",1,Hoop Kaper Tropical - Summer Session IPA,20,20,2022,202200681,Manzo's B.V.,2022,1,20,Regular
202200682,13/09/2022,66,d'Swarte Walvis,d'Swarte Walvis,"Eigen groep, Zaanstreek",Dennis de Leeuw,Nederland,Zaandam,Korting 20%,000131,Hoop Seasonal Summer Session IPA rvs 20L,"Bier in RVS fust, Seasonal",2,Hoop Kaper Tropical - Summer Session IPA,40,40,2022,202200682,d'Swarte Walvis,2022,1,40,Regular
202200683,13/09/2022,4,Restaurant | Hoop doet Eten,Restaurant | Hoop doet Eten,Eigen groep,Dennis de Leeuw,Nederland,Zaandijk,Korting 25%,000148,Hoop US Lager rvs 20L,"Bier in RVS fust, Kern",5,Hoop US Lager,100,100,2022,202200683,Restaurant | Hoop doet Eten,2022,2,120,Regular
202200683,13/09/2022,4,Restaurant | Hoop doet Eten,Restaurant | Hoop doet Eten,Eigen groep,Dennis de Leeuw,Nederland,Zaandijk,Korting 25%,000131,Hoop Seasonal Summer Session IPA rvs 20L,"Bier in RVS fust, Seasonal",1,Hoop Kaper Tropical - Summer Session IPA,20,20,2022,202200683,Restaurant | Hoop doet Eten,2022,2,120,Regular
202200686,14/09/2022,5,Winkel | Hoop doet Eten,Winkel | Hoop doet Eten,"Eigen groep, Retail, Zaanstreek",Dennis de Leeuw,Nederland,Zaandijk,Korting 20%,000264,"Hoop Bleke Nelis doos 12fles/0,75l (ongelabeld)","Bier in fles, Kern",3,Hoop Bleke Nelis,27,27,2022,202200686,Winkel | Hoop doet Eten,2022,2,62,Regular
202200686,14/09/2022,5,Winkel | Hoop doet Eten,Winkel | Hoop doet Eten,"Eigen groep, Retail, Zaanstreek",Dennis de Leeuw,Nederland,Zaandijk,Korting 20%,000280,Hoop Bleke Nelis Partykeg 5L,"Bier in blik, Kern",7,Hoop Bleke Nelis,35,35,2022,202200686,Winkel | Hoop doet Eten,2022,2,62,Regular
202200687,14/09/2022,4,Restaurant | Hoop doet Eten,Restaurant | Hoop doet Eten,Eigen groep,Dennis de Leeuw,Nederland,Zaandijk,Korting 25%,000148,Hoop US Lager rvs 20L,"Bier in RVS fust, Kern",2,Hoop US Lager,40,40,2022,202200687,Restaurant | Hoop doet Eten,2022,2,120,Regular
202200687,14/09/2022,4,Restaurant | Hoop doet Eten,Restaurant | Hoop doet Eten,Eigen groep,Dennis de Leeuw,Nederland,Zaandijk,Korting 25%,000131,Hoop Seasonal Summer Session IPA rvs 20L,"Bier in RVS fust, Seasonal",4,Hoop Kaper Tropical - Summer Session IPA,80,80,2022,202200687,Restaurant | Hoop doet Eten,2022,2,120,Regular
